"HareGasex98ObsCO2ws","HareGasex98ObsCO2k660","HareGasex98COARECO2ws","HareGasex98COARECO2k660","BlomquistCOAREDMSws", "BlomquistCOAREDMSkDMS","BloquistObsDMSws","BloquistObsDMSkDMS","BlomquistGasex01CO2ws","BlomquistGasex01CO2kCO2", "BlomquistGasex98CO2ws","BlomquistGasex98CO2kCO2","HuebertCOARECO2nobubws","HuebertCOARECO2nobubk660", "HuebertCOARECO2bubws","HuebertCOARECO2bubk660","HuebertCOAREDMSnobubws","HuebertCOAREDMSnobubk660", "HuebertCOAREDMSbubws","HuebertCOAREDMSbubk660","HuebertObsDMSws","HuebertObsDMSk660","MillerKnorrbCO2ws","MillerKnorrbCO2k660", "MillerKnorrbDMSws","MillerKnorrbDMSk660","MillerGasex01CO2ws","MillerGasex01CO2k660","MillerGasex98CO2ws","MillerGasex98CO2k660", "MillerKnora+bCO2ws","MillerKnora+bCO2k660","JeffreyCOAREtunedws","JeffreyCOAREtunedk660","JeffreyLissMerw/s","JeffreyLissMerk660","JeffreyNightingaledataws","JeffreyNightingaledatak660","WatsonRoetherdataRadonklws", "WatsonRoetherdataRadonkl","WatsonObsws","WatsonObskl"
,,,,,,,,,,,,8.13,13.07,7.52,14.55,7.78,11.52,7.83,12.33,10.8,19.09,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8.25,12.81,7.58,14.88,7.85,11.52,8.13,13.26,10.8,19.25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8.34,13,7.77,15.81,7.84,11.81,8.26,12.97,10.92,20.93,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8.53,13.62,7.83,15.71,8.13,12.1,8.33,13.23,11.13,26.12,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8.66,13.91,7.84,15.46,8.13,12.59,8.53,13.78,11.55,17.51,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8.82,14.1,7.79,15.29,8.26,12.3,8.66,14.26,11.85,21.06,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,8.83,14.2,8.13,16.45,8.34,12.49,8.82,14.33,12.09,22.25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.04,14.58,8.13,16.97,8.53,13.07,8.83,14.42,12.33,29.73,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.09,14.52,8.27,16.87,8.65,13.45,9.04,14.84,12.76,26.53,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.16,14.78,8.34,17.23,8.81,13.55,9.04,14.71,12.77,22.05,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.22,14.94,8.53,18.19,8.84,13.65,9.08,14.87,12.81,32.63,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.26,14.97,8.66,18.74,9.03,13.91,9.15,15.16,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.31,15.03,8.83,19.32,9.04,14,9.22,15.42,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.43,15.07,8.8,19.19,9.09,13.94,9.27,15.52,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.6,15.55,9.04,20.03,9.15,14.23,9.33,15.39,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.73,15.9,9.04,20.26,9.21,14.45,9.43,15.52,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.76,15.81,9.08,20.22,9.28,14.55,9.59,16.03,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.8,15.84,9.16,20.58,9.31,14.36,9.73,16.39,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.89,16.06,9.23,20.93,9.42,14.45,9.75,16.42,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9.95,16.19,9.27,21.06,9.59,14.9,9.81,16.55,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10.05,16.45,9.32,21.09,9.73,15.23,9.88,16.51,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10.13,16.51,9.43,21.48,9.78,15.19,9.89,16.77,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10.17,16.71,9.59,22.29,9.83,14.94,10.03,16.64,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10.28,16.45,9.73,22.96,9.92,15.42,10.06,17.06,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10.76,17.83,9.74,23.06,9.89,15.61,10.12,17.19,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10.8,17.93,9.79,23.19,10,15.29,10.18,17.38,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,10.92,17.83,9.84,22.9,10.06,15.84,10.29,17.26,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11.12,18.25,9.88,23.67,10.18,16.13,10.75,18.74,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11.55,19.19,9.92,23.9,10.27,15.93,10.8,18.67,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11.67,19.48,9.94,23.77,10.17,15.58,10.8,18.87,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,11.85,19.83,10.02,23.77,10.74,17.19,10.92,18.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12.1,20.41,10.06,24.38,10.8,17.29,11.12,19.51,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12.34,21.05,10.11,24.73,10.79,16.93,11.55,20.73,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12.77,21.96,10.19,24.48,10.91,17.25,11.67,20.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12.76,21.79,10.19,24.99,11.13,17.61,11.85,21.51,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,12.82,21.83,10.28,25.02,11.55,18.57,12.09,22.31,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13.34,23.24,10.79,27.76,11.67,18.77,12.33,22.99,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13.51,23.66,10.75,27.86,11.84,19.15,12.77,24.25,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13.61,23.82,10.8,28.12,12.09,19.77,12.81,24.21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,13.97,24.53,10.91,28.38,12.34,20.28,12.76,24.08,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,14.05,24.66,11.12,29.5,12.75,21.05,13.34,26.08,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11.54,32.05,12.77,21.31,13.52,26.63,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11.67,32.66,12.82,21.12,13.61,26.89,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,11.85,33.82,13.34,22.54,13.98,27.95,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12.09,35.43,13.52,22.92,14.04,28.14,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12.33,36.95,13.61,23.02,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12.76,39.69,13.98,23.76,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12.76,40.04,14.05,23.92,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,12.81,40.11,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,13.33,44.13,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,13.52,45.52,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,13.61,46.23,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,13.97,49.03,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,14.03,49.52,,,,,,,,,,,,,,,,,,,,,,,,,,
